Gênesis (GEN)
Capítulo 30: 31
Capítulo 31: 13

2 Samuel (2SA)
Capítulos: 24
Versículos por capítulo:
Capítulo 1: 27
Capítulo 2: 32
Capítulo 3: 39
Capítulo 4: 12
Capítulo 5: 25
Capítulo 6: 23
Capítulo 7: 29
Capítulo 8: 18
Capítulo 9: 13
Capítulo 10: 19
Capítulo 11: 27
Capítulo 12: 31
Capítulo 13: 39
Capítulo 14: 33
Capítulo 15: 37
Capítulo 16: 14
Capítulo 17: 29
Capítulo 18: 33
Capítulo 19: 43
Capítulo 20: 26
Capítulo 21: 22
Capítulo 22: 51
Capítulo 23: 39
Capítulo 24: 25

1 Reis (1KI)
Capítulos: 22
Versículos por capítulo:
Capítulo 1: 53
Capítulo 2: 46
Capítulo 3: 28
Capítulo 4: 34
Capítulo 5: 18
Capítulo 6: 38
Capítulo 7: 51
Capítulo 8: 66
Capítulo 9: 28
Capítulo 10: 29
Capítulo 11: 43
Capítulo 12: 33
Capítulo 13: 34
Capítulo 14: 31
Capítulo 15: 34
Capítulo 16: 34
Capítulo 17: 24
Capítulo 18: 46
Capítulo 19: 21
Capítulo 20: 43
Capítulo 21: 29
Capítulo 22: 53

2 Reis (2KI)
Capítulos: 25
Versículos por capítulo:
Capítulo 1: 18
Capítulo 2: 25
Capítulo 3: 27
Capítulo 4: 44
Capítulo 5: 27
Capítulo 6: 33
Capítulo 7: 20
Capítulo 8: 29
Capítulo 9: 37
Capítulo 10: 36
Capítulo 11: 21
Capítulo 12: 21
Capítulo 13: 25
Capítulo 14: 29
Capítulo 15: 38
Capítulo 16: 20
Capítulo 17: 41
Capítulo 18: 37
Capítulo 19: 37
Capítulo 20: 21
Capítulo 21: 26
Capítulo 22: 20
Capítulo 23: 37
Capítulo 24: 20
Capítulo 25: 30

1 Crônicas (1CH)
Capítulos: 29
Versículos por capítulo:
Capítulo 1: 54
Capítulo 2: 55
Capítulo 3: 24
Capítulo 4: 43
Capítulo 5: 26
Capítulo 6: 81
Capítulo 7: 40
Capítulo 8: 40
Capítulo 9: 44
Capítulo 10: 14
Capítulo 11: 47
Capítulo 12: 40
Capítulo 13: 14
Capítulo 14: 17
Capítulo 15: 29
Capítulo 16: 43
Capítulo 17: 27
Capítulo 18: 17
Capítulo 19: 19
Capítulo 20: 8
Capítulo 21: 30
Capítulo 22: 19
Capítulo 23: 32
Capítulo 24: 31
Capítulo 25: 31
Capítulo 26: 32
Capítulo 27: 34
Capítulo 28: 21
Capítulo 29: 30

2 Crônicas (2CH)
Capítulos: 36
Versículos por capítulo:
Capítulo 1: 17
Capítulo 2: 18
Capítulo 3: 17
Capítulo 4: 22
Capítulo 5: 14
Capítulo 6: 42
Capítulo 7: 22
Capítulo 8: 18
Capítulo 9: 31
Capítulo 10: 19
Capítulo 11: 23
Capítulo 12: 16
Capítulo 13: 22
Capítulo 14: 15
Capítulo 15: 19
Capítulo 16: 14
Capítulo 17: 19
Capítulo 18: 34
Capítulo 19: 11
Capítulo 20: 37
Capítulo 21: 20
Capítulo 22: 12
Capítulo 23: 21
Capítulo 24: 27
Capítulo 25: 28
Capítulo 26: 23
Capítulo 27: 9
Capítulo 28: 27
Capítulo 29: 36
Capítulo 30: 27
Capítulo 31: 21
Capítulo 32: 33
Capítulo 33: 25
Capítulo 34: 33
Capítulo 35: 27
Capítulo 36: 23

Esdras (EZR)
Capítulos: 10
Versículos por capítulo:
Capítulo 1: 11
Capítulo 2: 70
Capítulo 3: 13
Capítulo 4: 24
Capítulo 5: 17
Capítulo 6: 22
Capítulo 7: 28
Capítulo 8: 36
Capítulo 9: 15
Capítulo 10: 44

Neemias (NEH)
Capítulos: 13
Versículos por capítulo:
Capítulo 1: 11
Capítulo 2: 20
Capítulo 3: 32
Capítulo 4: 23
Capítulo 5: 19
Capítulo 6: 19
Capítulo 7: 73
Capítulo 8: 18
Capítulo 9: 38
Capítulo 10: 39
