Versículos por capítulo:
Capítulo 1: 21
Capítulo 2: 22
Capítulo 3: 18

1 João (1JN)
Capítulos: 5
Versículos por capítulo:
Capítulo 1: 10
Capítulo 2: 29
Capítulo 3: 24
Capítulo 4: 21
Capítulo 5: 21

2 João (2JN)
Capítulos: 1
Versículos por capítulo:
Capítulo 1: 13

3 João (3JN)
Capítulos: 1
Versículos por capítulo:
Capítulo 1: 15

Judas (JUD)
Capítulos: 1
Versículos por capítulo:
Capítulo 1: 25

Apocalipse (REV)
Capítulos: 22
Versículos por capítulo:
Capítulo 1: 20
Capítulo 2: 29
Capítulo 3: 22
Capítulo 4: 11
Capítulo 5: 14
Capítulo 6: 17
Capítulo 7: 17
Capítulo 8: 13
Capítulo 9: 21
Capítulo 10: 11
Capítulo 11: 19
Capítulo 12: 18
Capítulo 13: 18
Capítulo 14: 20
Capítulo 15: 8
Capítulo 16: 21
Capítulo 17: 18
Capítulo 18: 24
Capítulo 19: 21
Capítulo 20: 15
Capítulo 21: 27
Capítulo 22: 21
